"","registration_area","registration_region","tot_number_new_cases","pop_number","prob","infections10","infections100","infections500","infections1000","join"
"151","Дніпропетровська","Юр'ївський район",0,12643,0,0,0,0,0,"ДніпропетровськаЮр'ївський район"
"152","Донецька","Авдіївка",171,32436,0.00527192008879023,0,1,3,5,"ДонецькаАвдіївка"
"153","Донецька","Бахмут",837,73212,0.0114325520406491,0,1,6,11,"ДонецькаБахмут"
"154","Донецька","Бахмутський район",198,105040,0.00188499619192689,0,0,1,2,"ДонецькаБахмутський район"
"155","Донецька","Білицьке",63,8047,0.00782900459798683,0,1,4,8,"ДонецькаБілицьке"
"156","Донецька","Білозерське",93,15099,0.006159348301212,0,1,3,6,"ДонецькаБілозерське"
"157","Донецька","Великоновосілківський район",378,37144,0.0101766099504631,0,1,5,10,"ДонецькаВеликоновосілківський район"
"158","Донецька","Вишневе",0,253,0,0,0,0,0,"ДонецькаВишневе"
"159","Донецька","Водянське",3,1436,0.0020891364902507,0,0,1,2,"ДонецькаВодянське"
"160","Донецька","Волноваський район",324,95805,0.00338186942226397,0,0,2,3,"ДонецькаВолноваський район"
"161","Донецька","Вугледар",180,14616,0.0123152709359606,0,1,6,12,"ДонецькаВугледар"
"162","Донецька","Гірник",57,10725,0.00531468531468531,0,1,3,5,"ДонецькаГірник"
"163","Донецька","Добропілля",333,29129,0.0114319063476261,0,1,6,11,"ДонецькаДобропілля"
"164","Донецька","Добропільський район",54,14901,0.00362391785786189,0,0,2,4,"ДонецькаДобропільський район"
"165","Донецька","Дружківка",279,55984,0.00498356673335239,0,0,2,5,"ДонецькаДружківка"
"166","Донецька","Залізне",6,5105,0.00117531831537708,0,0,1,1,"ДонецькаЗалізне"
"167","Донецька","Комишівка",3,388,0.0077319587628866,0,1,4,8,"ДонецькаКомишівка"
"168","Донецька","Комишуваха",0,507,0,0,0,0,0,"ДонецькаКомишуваха"
"169","Донецька","Костянтинівка",423,69817,0.00605869630605726,0,1,3,6,"ДонецькаКостянтинівка"
"170","Донецька","Костянтинівський район",12,17166,0.000699056274030059,0,0,0,1,"ДонецькаКостянтинівський район"
"171","Донецька","Краматорськ",2409,152120,0.0158361819616093,0,2,8,16,"ДонецькаКраматорськ"
"172","Донецька","Красна Гора",0,612,0,0,0,0,0,"ДонецькаКрасна Гора"
"173","Донецька","Курахівка",27,2726,0.0099046221570066,0,1,5,10,"ДонецькаКурахівка"
"174","Донецька","Курдюмівка",6,762,0.0078740157480315,0,1,4,8,"ДонецькаКурдюмівка"
"175","Донецька","Лиман",156,20768,0.0075115562403698,0,1,4,8,"ДонецькаЛиман"
"176","Донецька","Лиманський район",30,21799,0.00137620991788614,0,0,1,1,"ДонецькаЛиманський район"
"177","Донецька","Мангушський район",282,25524,0.0110484250117536,0,1,6,11,"ДонецькаМангушський район"
"178","Донецька","Мар'їнський район",201,79117,0.00254054122375722,0,0,1,3,"ДонецькаМар'їнський район"
"179","Донецька","Маріуполь",3612,436569,0.00827360623406609,0,1,4,8,"ДонецькаМаріуполь"
"180","Донецька","Миколаївка",222,14564,0.0152430650920077,0,2,8,15,"ДонецькаМиколаївка"
"181","Донецька","Мирноград",135,47460,0.00284450063211125,0,0,1,3,"ДонецькаМирноград"
"182","Донецька","Миронівський",27,7472,0.0036134903640257,0,0,2,4,"ДонецькаМиронівський"
"183","Донецька","Неліпівка",6,1013,0.00592300098716683,0,1,3,6,"ДонецькаНеліпівка"
"184","Донецька","Нікольський район",198,27337,0.00724293082635256,0,1,4,7,"ДонецькаНікольський район"
"185","Донецька","Новоазовський район",9,26952,0.000333926981300089,0,0,0,0,"ДонецькаНовоазовський район"
"186","Донецька","Новогродівка",201,14481,0.0138802568883364,0,1,7,14,"ДонецькаНовогродівка"
"187","Донецька","Новодонецьке",39,5734,0.00680153470526683,0,1,3,7,"ДонецькаНоводонецьке"
"188","Донецька","Олександрівський район",111,17615,0.00630144762986091,0,1,3,6,"ДонецькаОлександрівський район"
"189","Донецька","Олексієво-Дружківка",18,7148,0.00251818690542809,0,0,1,3,"ДонецькаОлексієво-Дружківка"
"190","Донецька","Петрівка",6,1040,0.00576923076923077,0,1,3,6,"ДонецькаПетрівка"
"191","Донецька","Південне",3,1458,0.00205761316872428,0,0,1,2,"ДонецькаПівденне"
"192","Донецька","Північне",21,9360,0.00224358974358974,0,0,1,2,"ДонецькаПівнічне"
"193","Донецька","Покровськ",300,61770,0.00485672656629432,0,0,2,5,"ДонецькаПокровськ"
"194","Донецька","Покровський район",111,29449,0.00376922815715304,0,0,2,4,"ДонецькаПокровський район"
"195","Донецька","Райське",0,812,0,0,0,0,0,"ДонецькаРайське"
"196","Донецька","Сартана",66,10240,0.0064453125,0,1,3,6,"ДонецькаСартана"
