registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Хмельницька,Деражнянський район,249,30458,0.00817519206776545,0,1,4,8
Хмельницька,Дунаєвецький район,603,59576,0.0101215254464885,0,1,5,10
Хмельницька,Ізяславський район,249,41972,0.00593252644620223,0,1,3,6
Хмельницька,Кам'янець-Подільський,1254,98970,0.0126705062140042,0,1,6,13
Хмельницька,Кам'янець-Подільський район,783,63302,0.0123692774319927,0,1,6,12
Хмельницька,Красилівський район,615,49345,0.0124632688215625,0,1,6,12
Хмельницька,Летичівський район,723,26490,0.0272933182332956,0,3,14,27
Хмельницька,Нетішин,483,36746,0.0131442878136396,0,1,7,13
Хмельницька,Новоушицький район,465,26983,0.0172330726753882,0,2,9,17
Хмельницька,Полонський район,642,42648,0.015053460889139,0,2,8,15
Хмельницька,Славута,801,35230,0.0227363042861198,0,2,11,23
Хмельницька,Славутський район,192,28018,0.00685273752587622,0,1,3,7
Хмельницька,Старокостянтинів,327,34455,0.00949063996517196,0,1,5,9
Хмельницька,Старокостянтинівський район,60,27023,0.00222033082929356,0,0,1,2
Хмельницька,Старосинявський район,240,19093,0.0125700518514639,0,1,6,13
Хмельницька,Теофіпольський район,762,25353,0.0300556147201515,0,3,15,30
Хмельницька,Хмельницький,3621,273713,0.0132291853145448,0,1,7,13
Хмельницька,Хмельницький район,417,52955,0.00787461051836465,0,1,4,8
Хмельницька,Чемеровецький район,339,38770,0.00874387412948156,0,1,4,9
Хмельницька,Шепетівка,633,41189,0.0153681808249775,0,2,8,15
Хмельницька,Шепетівський район,165,32100,0.00514018691588785,0,1,3,5
Хмельницька,Ярмолинецький район,732,27866,0.0262685710184454,0,3,13,26
Черкаська,Ватутіне,15,16200,0.000925925925925926,0,0,0,1
Черкаська,Городищенський район,18,38487,0.000467690388962507,0,0,0,0
Черкаська,Драбівський район,21,32932,0.0006376776387708,0,0,0,1
Черкаська,Жашківський район,27,35145,0.000768245838668374,0,0,0,1
Черкаська,Звенигородський район,21,42176,0.000497913505311077,0,0,0,0
Черкаська,Золотоніський район,33,39349,0.00083864901268139,0,0,0,1
Черкаська,Золотоноша,87,27664,0.00314488143435512,0,0,2,3
Черкаська,Кам'янський район,3,25767,0.000116427989288625,0,0,0,0
Черкаська,Канів,120,23597,0.00508539221087426,0,1,3,5
Черкаська,Канівський район,30,18587,0.00161403131220746,0,0,1,2
Черкаська,Катеринопільський район,72,23093,0.00311782791322046,0,0,2,3
Черкаська,Корсунь-Шевченківський район,12,40625,0.000295384615384615,0,0,0,0
Черкаська,Лисянський район,15,22202,0.000675614809476624,0,0,0,1
Черкаська,Маньківський район,117,26211,0.00446377475105872,0,0,2,4
Черкаська,Монастирищенський район,66,34817,0.00189562570008904,0,0,1,2
Черкаська,Сміла,39,66972,0.000582332915248163,0,0,0,1
Черкаська,Смілянський район,12,31264,0.000383828045035824,0,0,0,0
Черкаська,Тальнівський район,102,31874,0.00320010039530652,0,0,2,3
Черкаська,Уманський район,3,41994,7.14387769681383e-05,0,0,0,0
Черкаська,Умань,33,82603,0.000399501228768931,0,0,0,0
Черкаська,Христинівський район,3,33479,8.96084112428687e-05,0,0,0,0
Черкаська,Черкаси,384,274762,0.00139757317241831,0,0,1,1
Черкаська,Черкаський район,219,73883,0.00296414601464478,0,0,1,3
Черкаська,Чигиринський район,3,25410,0.000118063754427391,0,0,0,0
Черкаська,Чорнобаївський район,12,39346,0.000304986529761602,0,0,0,0
Черкаська,Шполянський район,66,41211,0.00160151415884109,0,0,1,2
Чернівецька,Вижницький район,819,55095,0.0148652327797441,0,1,7,15
Чернівецька,Герцаївський район,192,33175,0.00578749058025622,0,1,3,6
Чернівецька,Глибоцький район,921,74131,0.0124239521927399,0,1,6,12
Чернівецька,Заставнівський район,681,48198,0.0141292169799577,0,1,7,14
Чернівецька,Кельменецький район,639,39157,0.0163189212656741,0,2,8,16
Чернівецька,Кіцманський район,2448,68027,0.0359857115557058,0,4,18,36
Чернівецька,Новодністровськ,243,10622,0.0228770476369799,0,2,11,23
Чернівецька,Новоселицький район,864,76744,0.01125820911081,0,1,6,11
Чернівецька,Путильський район,129,26304,0.00490419708029197,0,0,2,5
