registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Львівська,Стрийський район,159,60912,0.00261032308904649,0,0,1,3
Львівська,Східниця,3,2279,0.00131636682755595,0,0,1,1
Львівська,Трускавець,234,28647,0.00816839459629281,0,1,4,8
Львівська,Турківський район,24,48933,0.000490466556311692,0,0,0,0
Львівська,Червоноград,474,65871,0.00719588286195746,0,1,4,7
Львівська,Яворівський район,948,126115,0.00751694881655632,0,1,4,8
м. Київ,Голосіївський район,561,253977,0.00220886143233442,0,0,1,2
м. Київ,Дарницький район,648,347743,0.00186344513045554,0,0,1,2
м. Київ,Деснянський район,2799,368988,0.00758561254024521,0,1,4,8
м. Київ,Дніпровський район,657,358244,0.00183394557899086,0,0,1,2
м. Київ,Оболонський район,2535,318805,0.00795156914101096,0,1,4,8
м. Київ,Печерський район,1635,163184,0.0100193646435925,0,1,5,10
м. Київ,Подільський район,357,208448,0.00171265735339269,0,0,1,2
м. Київ,Святошинський район,816,342432,0.0023829548640314,0,0,1,2
м. Київ,Солом'янський район,747,383183,0.00194946017960087,0,0,1,2
м. Київ,Шевченківський район,447,218485,0.00204590704167334,0,0,1,2
Миколаївська,Арбузинський район,12,19269,0.000622761949244901,0,0,0,1
Миколаївська,Баштанський район,27,36507,0.000739584189333552,0,0,0,1
Миколаївська,Березанський район,72,22422,0.00321113192400321,0,0,2,3
Миколаївська,Березнегуватський район,12,19344,0.000620347394540943,0,0,0,1
Миколаївська,Братський район,27,17129,0.00157627415494191,0,0,1,2
Миколаївська,Веселинівський район,84,22091,0.00380245348784573,0,0,2,4
Миколаївська,Вітовський район,162,49432,0.00327722932513352,0,0,2,3
Миколаївська,Вознесенськ,114,34404,0.00331356818974538,0,0,2,3
Миколаївська,Вознесенський район,54,29241,0.00184672206832872,0,0,1,2
Миколаївська,Врадіївський район,30,16836,0.00178189593727726,0,0,1,2
Миколаївська,Доманівський район,12,24447,0.000490857773959995,0,0,0,0
Миколаївська,Єланецький район,27,14863,0.00181659153602907,0,0,1,2
Миколаївська,Казанківський район,111,18540,0.00598705501618123,0,1,3,6
Миколаївська,Кривоозерський район,24,23825,0.00100734522560336,0,0,1,1
Миколаївська,Миколаїв,3453,480080,0.00719255124145976,0,1,4,7
Миколаївська,Миколаївський район,63,29389,0.00214365919221477,0,0,1,2
Миколаївська,Новобузький район,24,29851,0.000803993166058089,0,0,0,1
Миколаївська,Новоодеський район,117,32239,0.00362914482459133,0,0,2,4
Миколаївська,Очаків,45,14036,0.00320604160729553,0,0,2,3
Миколаївська,Очаківський район,30,14832,0.00202265372168285,0,0,1,2
Миколаївська,Первомайськ,213,64103,0.00332277740511365,0,0,2,3
Миколаївська,Первомайський район,96,28729,0.00334157123464096,0,0,2,3
Миколаївська,Снігурівський район,30,38849,0.000772220649180159,0,0,0,1
Миколаївська,Южноукраїнськ,45,39404,0.00114201603898081,0,0,1,1
Одеська,Ананьївський район,153,25393,0.00602528255818533,0,1,3,6
Одеська,Арцизький район,552,43774,0.012610225247864,0,1,6,13
Одеська,Балтський район,420,8164,0.0514453699167075,1,5,26,51
Одеська,Березівський район,441,32760,0.0134615384615385,0,1,7,13
Одеська,Білгород-Дністровський,174,48674,0.00357480379668817,0,0,2,4
Одеська,Білгород-Дністровський район,54,59349,0.000909872112419754,0,0,0,1
Одеська,Біляївський район,597,81171,0.00735484347858225,0,1,4,7
Одеська,Болградський район,474,66666,0.00711007110071101,0,1,4,7
Одеська,Великомихайлівський район,72,30166,0.00238679307830007,0,0,1,2
Одеська,Затока,0,1761,0,0,0,0,0
Одеська,Захарівський район,183,19824,0.00923123486682809,0,1,5,9
Одеська,Іванівський район,225,25743,0.00874024006526046,0,1,4,9
Одеська,Ізмаїльський район,1398,121867,0.0114715222332543,0,1,6,11
Одеська,Кілійський район,267,50386,0.00529909101734609,0,1,3,5
Одеська,Кодимський район,96,28282,0.00339438512127855,0,0,2,3
Одеська,Лиманський район,855,72605,0.0117760484815095,0,1,6,12
Одеська,Любашівський район,189,29253,0.00646087580760948,0,1,3,6
Одеська,Миколаївський район,93,15399,0.00603935320475356,0,1,3,6
Одеська,Овідіопольський район,828,87551,0.00945734486185195,0,1,5,9
Одеська,Одеса,6243,1017699,0.00613442678041346,0,1,3,6
Одеська,Окнянський район,102,19606,0.00520248903396919,0,1,3,5
Одеська,Олександрівка,6,7612,0.000788229111928534,0,0,0,1
Одеська,Подільськ,453,40023,0.0113184918671764,0,1,6,11
Одеська,Подільський район,540,25524,0.0211565585331453,0,2,11,21
Одеська,Ренійський район,237,36117,0.00656200681119694,0,1,3,7
Одеська,Роздільнянський район,207,57209,0.00361831180408677,0,0,2,4
Одеська,Савранський район,261,18167,0.0143667088677272,0,1,7,14
Одеська,Саратський район,372,44171,0.00842181521812954,0,1,4,8
Одеська,Сергіївка,3,5333,0.000562535158447403,0,0,0,1
Одеська,Тарутинський район,168,40054,0.00419433764418036,0,0,2,4
Одеська,Татарбунарський район,396,38065,0.0104032575857087,0,1,5,10
Одеська,Теплодар,84,10146,0.00827912477823773,0,1,4,8
Одеська,Чорноморськ,675,58934,0.0114534903451318,0,1,6,11
Одеська,Ширяївський район,105,26325,0.00398860398860399,0,0,2,4
Одеська,Южне,159,32724,0.00485881921525486,0,0,2,5
Полтавська,Великобагачанський район,123,23456,0.00524386084583902,0,1,3,5
Полтавська,Гадяцький район,117,27508,0.00425330812854442,0,0,2,4
Полтавська,Глобинський район,135,41270,0.00327114126484129,0,0,2,3
Полтавська,Горішні Плавні,330,50816,0.00649401763224181,0,1,3,6
